pt,p_throws,delta_3b_in,d_stuff,n
CH,R,23,-0.0981545657054329,16724
FS,R,23,0.624008545965182,6921
ST,R,23,4.27330151120426,12577
CU,L,23,-0.22605133545733,4418
SI,L,23,0.689087767251969,11579
ST,L,23,-0.897231313303323,4904
FF,L,23,0.22973454562481,21223
CH,L,23,3.03876843559076,9928
SL,L,23,-1.66887740594527,8724
FC,L,23,-0.704219663678434,4405
FS,L,23,3.27042198834351,781
SI,R,22,0.0624305698714421,25818
FC,R,22,3.28218243195328,13054
SL,R,22,5.37591350961467,20362
CU,R,22,7.52820910802948,11619
FF,R,22,0.274695651361484,52611
CH,R,22,-0.160952742654391,16724
FS,R,22,0.509124125414493,6921
ST,R,22,3.9208675174388,12577
CU,L,22,-0.152269104323541,4418
SI,L,22,0.627786759959647,11579
ST,L,22,-0.770596807726518,4904
FF,L,22,0.208456115140522,21223
CH,L,22,2.9029336211884,9928
SL,L,22,-1.60511683080381,8724
FC,L,22,-0.673611152462395,4405
FS,L,22,3.18100064686282,781
SI,R,21,0.0299624738320253,25818
FC,R,21,2.85376551526139,13054
SL,R,21,4.80329048332048,20362
CU,R,21,6.8594201627782,11619
FF,R,21,0.21390977598443,52611
CH,R,21,-0.215551254462906,16724
FS,R,21,0.399342563014002,6921
ST,R,21,3.59657891844085,12577
CU,L,21,-0.0881430881483326,4418
SI,L,21,0.563793729691781,11579
ST,L,21,-0.600066944100796,4904
FF,L,21,0.185719363717528,21223
CH,L,21,2.74874808044589,9928
SL,L,21,-1.53281300434298,8724
FC,L,21,-0.651486404744734,4405
FS,L,21,3.04401695187374,781
SI,R,20,-0.00202366951662746,25818
FC,R,20,2.48524584408108,13054
SL,R,20,4.28953401110753,20362
CU,R,20,6.22307967300788,11619
FF,R,20,0.163036904276857,52611
CH,R,20,-0.261874004736489,16724
FS,R,20,0.296094242408995,6921
ST,R,20,3.26964234082191,12577
CU,L,20,-0.0207284151913597,4418
SI,L,20,0.511736256050356,11579
ST,L,20,-0.411852770382404,4904
FF,L,20,0.163402531876933,21223
CH,L,20,2.59763348280487,9928
SL,L,20,-1.46625315431722,8724
FC,L,20,-0.623143293662137,4405
FS,L,20,2.83568757612606,781
SI,R,19,-0.0256395777765648,25818
